Kommunenummer,Kommunenavn,Valgdistrikt
1939,Storfjord – Omasvuotna – Omasvuono,Troms
1940,Gáivuotna – Kåfjord – Kaivuono,Troms
1941,Skjervøy,Troms
1942,Nordreisa,Troms
1943,Kvænangen,Troms
2002,Vardø,Finnmark
2003,Vadsø,Finnmark
2004,Hammerfest,Finnmark
2011,Guovdageaidnu – Kautokeino,Finnmark
2012,Alta,Finnmark
2014,Loppa,Finnmark
2015,Hasvik,Finnmark
2017,Kvalsund,Finnmark
2018,Måsøy,Finnmark
2019,Nordkapp,Finnmark
2020,Porsanger – Porsáŋgu – Porsanki,Finnmark
2021,Kárášjohka – Karasjok,Finnmark
2022,Lebesby,Finnmark
2023,Gamvik,Finnmark
2024,Berlevåg,Finnmark
2025,Deatnu – Tana,Finnmark
2027,Unjárga – Nesseby,Finnmark
2028,Båtsfjord,Finnmark
2030,Sør-Varanger,Finnmark
5001,Trondheim,Sør-Trøndelag
5004,Steinkjer,Nord-Trøndelag
5005,Namsos,Nord-Trøndelag
5011,Hemne,Sør-Trøndelag
5012,Snillfjord,Sør-Trøndelag
5013,Hitra,Sør-Trøndelag
5014,Frøya,Sør-Trøndelag
5015,Ørland,Sør-Trøndelag
5016,Agdenes,Sør-Trøndelag
5017,Bjugn,Sør-Trøndelag
5018,Åfjord,Sør-Trøndelag
5019,Roan,Sør-Trøndelag
5020,Osen,Sør-Trøndelag
5021,Oppdal,Sør-Trøndelag
5022,Rennebu,Sør-Trøndelag
5023,Meldal,Sør-Trøndelag
5024,Orkdal,Sør-Trøndelag
5025,Røros,Sør-Trøndelag
5026,Holtålen,Sør-Trøndelag
5027,Midtre Gauldal,Sør-Trøndelag
5028,Melhus,Sør-Trøndelag
5029,Skaun,Sør-Trøndelag
5030,Klæbu,Sør-Trøndelag
5031,Malvik,Sør-Trøndelag
5032,Selbu,Sør-Trøndelag
5033,Tydal,Sør-Trøndelag
5034,Meråker,Nord-Trøndelag
5035,Stjørdal,Nord-Trøndelag
5036,Frosta,Nord-Trøndelag
5037,Levanger,Nord-Trøndelag
5038,Verdal,Nord-Trøndelag
5039,Verran,Nord-Trøndelag
5040,Namdalseid,Nord-Trøndelag
5041,Snåase – Snåsa,Nord-Trøndelag
5042,Lierne,Nord-Trøndelag
5043,Raarvihke – Røyrvik,Nord-Trøndelag
5044,Namsskogan,Nord-Trøndelag
5045,Grong,Nord-Trøndelag
5046,Høylandet,Nord-Trøndelag
5047,Overhalla,Nord-Trøndelag
5048,Fosnes,Nord-Trøndelag
5049,Flatanger,Nord-Trøndelag
5050,Vikna,Nord-Trøndelag
5051,Nærøy,Nord-Trøndelag
5052,Leka,Nord-Trøndelag
5053,Inderøy,Nord-Trøndelag
5054,Indre Fosen,Sør-Trøndelag
